iter	RMSE
454	10243.22668
455	10225.85686
456	10210.48795
457	10195.22222
458	10173.37374
459	10150.91276
460	10142.65632
461	10132.44899
462	10125.43641
463	10117.15737
464	10102.01839
465	10089.76234
466	10073.07638
467	10059.00526
468	10044.62435
469	10031.44189
470	10010.79218
471	9995.503571
472	9977.691413
473	9967.635243
474	9949.68848
475	9929.437111
476	9914.355019
477	9899.554353
478	9887.169407
479	9876.522107
480	9860.915966
481	9845.675482
482	9824.560711
483	9811.410658
484	9800.042194
485	9782.073941
486	9769.534595
487	9755.636318
488	9741.138159
489	9732.404163
490	9708.901542
491	9685.628239
492	9672.793952
493	9651.498504
494	9633.645051
495	9622.356315
496	9603.620869
497	9593.826084
498	9576.809061
499	9555.034984
500	9542.541739
501	9530.654102
502	9510.280781
503	9497.073411
504	9474.004378
505	9454.356537
506	9437.22707
507	9426.16371
508	9415.006799
509	9404.113882
510	9384.317972
511	9367.971667
512	9357.030216
513	9340.05229
514	9328.588357
515	9311.246922
516	9299.809295
517	9284.084228
518	9269.720672
519	9256.019149
520	9240.158157
521	9226.428338
522	9209.883535
523	9201.072949
524	9181.40194
525	9164.811282
526	9158.264083
527	9145.533869
528	9132.662549
529	9120.194926
530	9104.088027
531	9086.768149
532	9072.706608
533	9055.4636
534	9044.441265
535	9030.65961
536	9019.190022
537	9006.816213
538	8996.547331
539	8986.487532
540	8964.391794
541	8949.797468
542	8933.621148
543	8918.739657
544	8905.476835
545	8891.318234
546	8881.912695
547	8865.838438
548	8850.169758
549	8832.699495
550	8815.767379
551	8798.001547
552	8776.503368
553	8758.373866
554	8743.08512
555	8728.413279
556	8710.151422
557	8692.708497
558	8680.583782
559	8662.059764
560	8644.49545
561	8632.686478
562	8620.420989
563	8595.452961
564	8578.309224
565	8558.022935
566	8541.471256
567	8531.798218
568	8525.117969
569	8503.833891
570	8487.933844
571	8476.026671
572	8470.34004
573	8457.84441
574	8444.143822
575	8426.661451
576	8418.940363
577	8398.909764
578	8385.777745
579	8373.271991
580	8362.968024
581	8343.890081
582	8327.031846
583	8311.620993
584	8296.648821
585	8281.964423
586	8264.850261
587	8244.329866
588	8235.335449
589	8218.652603
590	8204.779712
591	8196.179981
592	8177.655706
593	8163.035508
594	8148.783091
595	8137.872539
596	8128.663572
597	8110.689306
598	8095.226771
599	8080.915488
600	8068.543494
601	8063.154275
602	8051.026084
603	8038.078496
604	8028.734709
605	8007.015953
606	7992.065129
607	7979.751225
608	7959.830364
609	7949.202866
610	7935.512954
611	7929.727172
612	7922.401554
613	7909.889463
614	7902.834992
615	7894.20873
616	7886.303635
617	7877.028204
618	7859.594856
619	7848.935017
620	7837.084865
621	7824.62961
622	7818.744204
623	7809.765851
624	7798.90086
625	7784.516656
626	7767.900383
627	7756.387326
628	7746.946003
629	7729.189939
630	7721.068339
631	7707.701825
632	7701.278251
633	7695.916073
634	7688.391225
635	7677.294348
636	7664.101794
637	7654.671741
638	7646.135388
639	7633.815109
640	7626.441904
641	7612.826256
642	7605.857635
643	7589.658427
644	7578.398707
645	7574.457096
646	7562.014203
647	7551.566852
648	7537.905976
649	7522.577467
650	7506.709298
651	7490.412355
652	7479.739602
653	7474.547406
654	7465.50467
655	7454.133085
656	7434.897612
657	7418.305132
658	7399.724717
659	7393.110147
660	7376.307273
661	7364.439647
662	7354.874522
663	7348.670062
664	7335.225774
665	7333.675662
666	7318.873244
667	7307.573926
668	7298.872268
669	7288.755982
670	7269.342857
671	7254.207064
672	7236.473106
673	7218.58015
674	7206.861024
675	7197.616104
676	7186.367596
677	7177.981949
678	7167.700786
679	7152.366631
680	7147.748746
681	7137.933832
682	7127.112436
683	7116.527964
684	7104.609964
685	7093.002602
686	7083.103287
687	7075.878707
688	7062.945494
689	7051.539746
690	7036.253059
691	7026.325498
692	7017.269826
693	7014.47424
694	7001.697275
695	6989.675316
696	6973.185758
697	6959.200918
698	6948.630145
699	6933.724556
700	6916.002745
701	6898.077658
702	6885.499361
703	6875.136891
704	6867.392131
705	6859.311389
706	6853.263124
707	6843.485331
708	6828.658298
709	6818.827934
710	6810.560083
711	6809.228538
712	6800.000488
713	6796.263653
714	6782.885232
715	6771.377192
716	6770.606532
717	6765.089457
718	6758.541606
719	6749.6426
720	6739.777114
721	6732.520996
722	6727.057276
723	6722.599479
724	6708.489107
725	6695.361577
726	6685.17134
727	6684.583561
728	6682.46245
729	6672.931012
730	6665.631776
731	6653.040245
732	6648.789912
733	6634.284042
734	6625.436495
735	6613.442936
736	6608.530335
737	6607.788486
738	6595.838959
739	6587.225815
740	6581.483551
741	6574.412035
742	6569.809493
743	6560.505749
744	6552.142425
745	6544.731774
746	6542.592285
747	6532.07871
748	6523.426511
749	6511.726676
750	6498.897769
751	6497.868294
752	6493.659824
753	6481.997692
754	6470.732945
755	6456.788409
756	6445.600437
757	6435.732522
758	6420.866947
759	6410.77541
760	6396.824126
761	6384.849521
762	6375.885951
763	6362.730261
764	6351.452822
765	6343.008059
766	6333.28392
767	6316.636897
768	6303.909449
769	6301.429868
770	6288.41
771	6279.440298
772	6264.448091
773	6257.841016
774	6248.681627
775	6240.941538
776	6232.739252
777	6218.393367
778	6210.027369
779	6200.667113
780	6194.732665
781	6184.556409
782	6176.224583
783	6161.061814
784	6152.516056
785	6142.090609
786	6127.812256
787	6114.910169
788	6101.190671
789	6095.921981
790	6092.683326
791	6081.049068
792	6072.348046
793	6062.682551
794	6051.825509
795	6044.233356
796	6036.727502
797	6029.691645
798	6028.060184
799	6020.993029
800	6016.027709
801	6012.763013
802	5998.564853
803	5988.62164
804	5979.186542
805	5971.530848
806	5961.04715
807	5948.005763
808	5935.604671
809	5927.099262
810	5922.049144
811	5917.112201
812	5906.083068
813	5899.847367
814	5891.457713
815	5881.833277
816	5871.912201
817	5858.898858
818	5850.563611
819	5832.852796
820	5819.509738
821	5810.730212
822	5804.874742
823	5791.340658
824	5777.819635
825	5773.096131
826	5765.224486
827	5752.411699
828	5740.509746
829	5727.055341
830	5717.02262
831	5715.294655
832	5707.261751
833	5700.824656
834	5692.534379
835	5685.590571
836	5672.204903
837	5671.226569
838	5661.816019
839	5656.047025
840	5649.976465
841	5636.983568
842	5627.808752
843	5612.688683
844	5600.720208
845	5588.852876
846	5577.041644
847	5569.676489
848	5561.548805
849	5555.548881
850	5544.75657
851	5537.135488
852	5527.643048
853	5522.09316
854	5513.509359
855	5503.760909
856	5501.014367
857	5490.051602
858	5480.528933
859	5466.569006
860	5460.772554
861	5459.114858
862	5447.082974
863	5445.682203
864	5434.519664
865	5424.435143
866	5413.666346
867	5402.426555
868	5395.885889
869	5389.191931
870	5386.0039
871	5382.442697
872	5380.657486
873	5370.712287
874	5359.311415
875	5349.784318
876	5344.55039
877	5335.471264
878	5331.270794
879	5322.236225
880	5312.981917
881	5302.852993
882	5297.745404
883	5295.097281
884	5290.108243
885	5281.790027
886	5274.866194
887	5259.293508
888	5252.912698
889	5243.227321
890	5236.099101
891	5230.909245
892	5223.282638
893	5215.768895
894	5204.682536
895	5198.422165
896	5191.492888
897	5176.49661
898	5167.625196
899	5161.186786
900	5152.581308
901	5143.847381
902	5134.476391
903	5127.354118
904	5118.430277
905	5116.255662
906	5108.495078
907	5106.539134
908	5101.107354
909	5094.971084
910	5088.258835
911	5079.90215
912	5073.313202
913	5065.787354
914	5057.348108
915	5051.815366
916	5044.200966
917	5035.043863
918	5028.81675
919	5019.925114
920	5010.577108
921	4999.677398
922	4998.526245
923	4990.157825
924	4984.407134
925	4973.974493
926	4964.336553
927	4951.425855
928	4942.882756
929	4935.493714
930	4927.621355
931	4918.575325
932	4913.449782
933	4903.251027
934	4894.63541
935	4888.751252
936	4877.430438
937	4865.534258
938	4857.830773
939	4851.990837
940	4845.217404
941	4836.461715
942	4827.582054
943	4824.768828
944	4818.405219
945	4811.953592
946	4804.743473
947	4797.762213
948	4786.831746
949	4775.042987
950	4763.153783
951	4754.057038
952	4746.578991
953	4741.312249
954	4736.028564
955	4726.067626
956	4719.373231
957	4709.996312
958	4702.329602
959	4695.661566
960	4689.598836
961	4678.451363
962	4670.465777
963	4663.677623
964	4661.064305
965	4650.486168
966	4647.176021
967	4638.882883
968	4633.862619
969	4623.588649
970	4620.25548
971	4609.074218
972	4601.182708
973	4593.487949
974	4587.465576
975	4579.797563
976	4569.363839
977	4565.186469
978	4557.243218
979	4547.373241
980	4540.063426
981	4532.694576
982	4524.999364
983	4513.080311
984	4504.773376
985	4493.885772
986	4486.549987
987	4476.331133
988	4466.744769
989	4459.285421
990	4455.684592
991	4448.761207
992	4442.253997
993	4438.156816
994	4429.060974
995	4426.517818
996	4419.792212
997	4412.270562
998	4404.431377
999	4392.50954
